iter	Passed	Remaining
0	42	21039
1	69	17324
2	84	14059
3	95	11849
4	118	11710
5	141	11627
6	161	11408
7	185	11397
8	208	11378
9	231	11330
10	256	11401
11	280	11393
12	296	11100
13	357	12423
14	430	13933
15	457	13852
16	492	14006
17	534	14306
18	594	15039
19	669	16065
20	727	16597
21	768	16707
22	829	17206
23	892	17697
24	967	18388
25	1029	18772
26	1082	18961
27	1143	19283
28	1195	19412
29	1231	19293
30	1273	19262
31	1319	19299
32	1374	19450
33	1434	19666
34	1472	19562
35	1507	19428
36	1545	19342
37	1582	19241
38	1619	19146
39	1652	19004
40	1685	18867
41	1737	18945
42	1800	19134
43	1862	19297
44	1916	19382
45	1955	19298
46	2007	19353
47	2131	20075
48	2182	20089
49	2267	20405
50	2351	20698
51	2467	21261
52	2559	21590
53	2617	21618
54	2659	21521
55	2701	21417
56	2823	21943
57	2873	21900
58	2917	21804
59	2956	21677
60	2988	21508
61	3022	21352
62	3063	21247
63	3105	21158
64	3146	21058
65	3186	20954
66	3221	20816
67	3256	20689
68	3296	20593
69	3335	20487
70	3371	20373
71	3405	20246
72	3439	20120
73	3472	19988
74	3511	19897
75	3546	19783
76	3578	19657
77	3625	19615
78	3663	19521
79	3694	19397
80	3728	19288
81	3768	19209
82	3833	19257
83	3897	19303
84	3940	19240
85	3973	19127
86	4001	18996
87	4030	18871
88	4057	18737
89	4081	18593
90	4105	18452
91	4131	18320
92	4157	18195
93	4183	18067
94	4211	17955
95	4243	17856
96	4275	17763
97	4304	17656
98	4332	17546
99	4357	17429
100	4385	17326
101	4411	17212
102	4441	17117
103	4470	17022
104	4499	16928
105	4524	16818
106	4550	16714
107	4574	16604
108	4604	16516
109	4629	16412
110	4659	16330
111	4683	16224
112	4710	16133
113	4740	16050
114	4770	15970
115	4804	15903
116	4832	15820
117	4860	15735
118	4886	15645
119	4914	15563
120	4942	15481
121	4969	15396
122	4995	15312
123	5018	15217
124	5046	15138
125	5070	15049
126	5095	14964
127	5117	14871
128	5142	14788
129	5165	14702
130	5190	14621
131	5213	14535
132	5238	14456
133	5262	14373
134	5286	14293
135	5312	14219
136	5338	14144
137	5361	14063
138	5385	13985
139	5411	13916
140	5441	13855
141	5472	13796
142	5505	13743
143	5531	13674
144	5559	13610
145	5587	13547
146	5619	13493
147	5650	13438
148	5702	13432
149	5740	13393
150	5772	13341
151	5800	13280
152	5828	13218
153	5854	13153
154	5881	13092
155	5906	13025
156	5932	12959
157	5956	12892
158	5981	12828
159	6007	12766
160	6036	12709
161	6064	12653
162	6088	12588
163	6117	12533
164	6139	12465
165	6163	12402
166	6186	12336
167	6213	12278
168	6237	12217
169	6262	12157
170	6284	12092
171	6309	12032
172	6334	11972
173	6358	11912
174	6382	11852
175	6406	11793
176	6430	11735
177	6455	11678
178	6478	11618
179	6506	11567
180	6532	11513
181	6565	11471
182	6598	11430
183	6629	11385
184	6663	11346
185	6700	11311
186	6732	11269
187	6762	11223
188	6789	11172
189	6817	11123
190	6842	11070
191	6872	11023
192	6894	10966
193	6921	10917
194	6946	10864
195	6973	10815
196	6997	10763
197	7021	10710
198	7047	10660
199	7074	10611
200	7104	10568
201	7134	10525
202	7159	10474
203	7189	10432
204	7219	10389
205	7248	10344
206	7276	10299
207	7303	10253
208	7336	10215
209	7368	10176
210	7403	10140
211	7437	10104
212	7472	10068
213	7501	10025
214	7528	9979
215	7553	9932
216	7581	9887
217	7610	9845
218	7640	9803
219	7669	9761
220	7696	9716
221	7725	9674
222	7755	9632
223	7781	9588
224	7808	9544
225	7833	9496
226	7858	9451
227	7882	9404
228	7909	9360
229	7937	9317
230	7960	9270
231	7986	9225
232	8008	9177
233	8037	9136
234	8060	9089
235	8086	9045
236	8117	9007
237	8142	8963
238	8167	8919
239	8191	8874
240	8217	8831
241	8242	8787
242	8268	8745
243	8294	8702
244	8330	8670
245	8372	8645
246	8413	8617
247	8456	8592
248	8506	8574
249	8541	8541
250	8587	8519
251	8656	8519
252	8738	8531
253	8832	8554
254	8887	8538
255	8955	8535
256	9007	8517
257	9067	8505
258	9127	8492
259	9167	8462
260	9209	8433
261	9241	8395
262	9272	8355
263	9307	8320
264	9343	8286
265	9378	8250
266	9412	8213
267	9442	8174
268	9472	8134
269	9498	8091
270	9529	8052
271	9560	8013
272	9592	7976
273	9621	7936
274	9652	7897
275	9679	7855
276	9705	7813
277	9734	7773
278	9761	7732
279	9790	7692
280	9824	7656
281	9857	7620
282	9887	7581
283	9917	7542
284	9944	7501
285	9973	7462
286	10003	7423
287	10031	7384
288	10059	7344
289	10088	7305
290	10117	7266
291	10148	7229
292	10177	7189
293	10205	7150
294	10231	7109
295	10259	7070
296	10285	7030
297	10313	6991
298	10339	6950
299	10366	6910
300	10397	6874
301	10424	6834
302	10453	6796
303	10482	6758
304	10509	6719
305	10537	6680
306	10566	6642
307	10594	6604
308	10618	6563
309	10650	6527
310	10680	6490
311	10709	6453
312	10737	6415
313	10771	6380
314	10806	6346
315	10833	6307
316	10864	6271
317	10901	6238
318	10930	6202
319	10962	6166
320	10996	6131
321	11025	6094
322	11053	6057
323	11081	6019
324	11109	5982
325	11137	5944
326	11162	5905
327	11191	5868
328	11218	5830
329	11246	5793
330	11275	5756
331	11304	5720
332	11332	5683
333	11356	5644
334	11386	5608
335	11419	5573
336	11444	5535
337	11470	5497
338	11497	5460
339	11524	5423
340	11552	5386
341	11577	5348
342	11605	5312
343	11644	5280
344	11669	5242
345	11696	5205
346	11728	5171
347	11756	5134
348	11782	5098
349	11810	5061
350	11837	5025
351	11863	4988
352	11888	4950
353	11914	4913
354	11944	4878
355	11972	4842
356	11998	4806
357	12027	4770
358	12057	4735
359	12086	4700
360	12110	4663
361	12136	4626
362	12165	4591
363	12193	4555
364	12222	4520
365	12246	4483
366	12275	4448
367	12304	4413
368	12333	4378
369	12360	4342
370	12386	4306
371	12410	4270
372	12439	4235
373	12470	4201
374	12494	4164
375	12519	4128
376	12542	4092
377	12567	4056
378	12592	4020
379	12645	3993
380	12666	3956
381	12689	3919
382	12711	3883
383	12735	3847
384	12757	3810
385	12781	3774
386	12807	3739
387	12832	3704
388	12863	3670
389	12888	3635
390	12914	3600
391	12936	3564
392	12961	3528
393	12986	3493
394	13012	3459
395	13034	3423
396	13058	3387
397	13082	3352
398	13107	3318
399	13131	3282
400	13152	3247
401	13176	3212
402	13200	3177
403	13223	3142
404	13249	3107
405	13272	3073
406	13297	3038
407	13321	3003
408	13345	2969
409	13367	2934
410	13390	2899
411	13413	2864
412	13438	2830
413	13452	2794
414	13479	2760
415	13506	2727
416	13534	2694
417	13562	2660
418	13587	2626
419	13611	2592
420	13636	2558
421	13660	2524
422	13687	2491
423	13712	2457
424	13744	2425
425	13772	2392
426	13801	2359
427	13825	2325
428	13853	2292
429	13883	2260
430	13907	2226
431	13933	2193
432	13975	2162
433	14005	2129
434	14033	2096
435	14058	2063
436	14085	2030
437	14111	1997
438	14138	1964
439	14175	1932
440	14208	1900
441	14236	1868
442	14270	1836
443	14310	1804
444	14337	1772
445	14363	1739
446	14389	1706
447	14416	1673
448	14443	1640
449	14467	1607
450	14496	1575
451	14526	1542
452	14553	1509
453	14584	1477
454	14615	1445
455	14642	1412
456	14671	1380
457	14702	1348
458	14730	1315
459	14758	1283
460	14783	1250
461	14810	1218
462	14835	1185
463	14860	1152
464	14884	1120
465	14911	1087
466	14937	1055
467	14964	1023
468	14991	990
469	15021	958
470	15053	926
471	15080	894
472	15109	862
473	15138	830
474	15162	798
475	15191	765
476	15219	733
477	15245	701
478	15274	669
479	15305	637
480	15337	605
481	15372	574
482	15403	542
483	15429	510
484	15456	478
485	15483	446
486	15509	414
487	15538	382
488	15565	350
489	15592	318
490	15619	286
491	15647	254
492	15675	222
493	15701	190
494	15729	158
495	15762	127
496	15789	95
497	15816	63
498	15843	31
499	15871	0
